City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,saint-philippe,-21.3585,55.7679,27.77,83,78,4.03,RE,1680843186
250,port hardy,50.6996,-127.4199,8.1,93,100,5.66,CA,1680843187
251,bogatyye saby,56.0102,50.4483,1.83,64,59,6.87,RU,1680843189
252,gazli,40.1333,63.45,19.53,38,90,6.8,UZ,1680843189
253,haines junction,60.7522,-137.5108,2.97,65,97,2.57,CA,1680843190
254,chabahar,25.2919,60.643,24.8,57,0,2.61,IR,1680843190
255,zaoyang,32.1272,112.7542,19.93,30,19,2.41,CN,1680843191
256,kavieng,-2.5744,150.7967,28.72,71,98,2.63,PG,1680843191
257,tiarei,-17.5333,-149.3333,29.01,77,96,7.75,PF,1680843192
258,lavrentiya,65.5833,-171.0,-22.96,94,51,0.89,RU,1680843193
259,broome,42.2506,-75.833,8.21,65,0,3.6,US,1680843194
260,tabat,-2.635,115.2274,23.81,96,100,1.37,ID,1680843195
261,saldanha,-33.0117,17.9442,18.03,92,47,1.35,ZA,1680843195
262,alice springs,-23.7,133.8833,28.75,28,3,3.09,AU,1680843196
263,gotha,50.9482,10.7019,2.86,77,0,3.09,DE,1680843197
264,valparaiso,-33.0393,-71.6273,18.33,60,0,5.01,CL,1680843100
265,saskylakh,71.9167,114.0833,-16.43,92,100,6.16,RU,1680843198
266,yining,29.0361,114.5636,19.42,37,0,2.11,CN,1680843199
267,cherskiy,68.75,161.3,-13.49,92,95,2.92,RU,1680843199
268,tommot,58.9564,126.2925,-3.28,67,59,2.58,RU,1680843200
269,kavaratti,10.5669,72.642,28.07,71,6,1.98,IN,1680843201
270,raudeberg,61.9875,5.1352,2.37,62,10,5.3,NO,1680843201
271,nishihara,26.1842,127.7558,19.81,100,100,9.26,JP,1680843202
272,oussouye,12.485,-16.5469,23.1,72,90,2.92,SN,1680843202
273,cayenne,4.9333,-52.3333,25.02,78,40,1.54,GF,1680843203
274,port hueneme,34.1478,-119.1951,13.95,81,0,2.57,US,1680843203
275,ironton,38.5368,-82.6829,9.53,73,100,0.0,US,1680843204
276,shetpe,44.1667,52.1167,14.25,43,68,3.23,KZ,1680843205
277,sungairaya,0.7,108.9,29.48,60,100,1.55,ID,1680843205
278,majene,-3.5403,118.9707,28.8,69,93,6.12,ID,1680843206
279,vardo,70.3705,31.1107,1.99,55,10,7.2,NO,1680843207
280,egvekinot,66.3167,-179.1667,-21.61,83,0,3.36,RU,1680843208
281,nampula,-15.1165,39.2666,20.97,100,75,3.13,MZ,1680843208
282,sarh,9.1429,18.3923,26.95,57,0,2.06,TD,1680843209
283,brae,60.3964,-1.353,6.74,92,98,4.65,GB,1680843209
284,alta floresta,-9.8756,-56.0861,21.06,98,100,0.91,BR,1680843210
285,pacific grove,36.6177,-121.9166,11.06,83,0,2.57,US,1680843210
286,margate,51.3813,1.3862,7.05,84,15,1.79,GB,1680843211
287,takoradi,4.8845,-1.7554,26.41,84,100,3.41,GH,1680843211
288,plettenberg bay,-34.0527,23.3716,17.96,87,6,4.77,ZA,1680843212
289,mar del plata,-38.0023,-57.5575,18.26,51,0,3.13,AR,1680842993
290,coquimbo,-29.9533,-71.3436,14.85,100,20,2.06,CL,1680843052
291,ribeira brava,32.65,-17.0667,16.51,76,4,1.15,PT,1680843213
292,menongue,-14.6585,17.691,15.39,91,73,1.37,AO,1680843214
293,marshall,34.3834,-86.3333,14.67,94,40,2.06,US,1680843215
294,yelniki,54.6207,43.876,2.98,69,16,5.39,RU,1680843215
295,iralaya,15.0,-83.2333,25.82,74,2,5.65,HN,1680843216
296,yeppoon,-23.1333,150.7333,28.88,67,76,5.94,AU,1680843216
297,koslan,63.4564,48.8989,-8.87,89,77,1.45,RU,1680843217
298,chiman,32.5463,73.8138,27.13,30,0,3.36,PK,1680843218
299,inuvik,68.3499,-133.7218,-14.52,85,75,3.6,CA,1680843218
300,de aar,-30.6497,24.0123,17.69,43,6,2.0,ZA,1680843219
301,saint anthony,45.0205,-93.218,-1.99,76,0,1.54,US,1680843219
302,isugod,9.3408,118.1196,29.06,69,94,2.97,PH,1680843220
303,kotido,2.9806,34.1331,21.99,71,45,2.55,UG,1680843220
304,zyryanka,65.75,150.85,-9.89,76,100,3.72,RU,1680843221
305,nakusp,50.2499,-117.8023,6.19,65,97,1.03,CA,1680843222
306,kindersley,51.4668,-109.1682,-8.99,92,20,8.23,CA,1680843150
307,kalakamati,-20.5929,27.3121,15.8,60,0,2.9,BW,1680843223
308,la maddalena,41.2142,9.4083,4.03,67,0,2.22,IT,1680843224
309,pacifica,37.6138,-122.4869,12.66,80,100,3.09,US,1680843224
310,mayumba,-3.432,10.6554,26.36,86,100,1.54,GA,1680843225
311,dingle,10.9995,122.6711,29.64,62,89,3.94,PH,1680843226
312,sechura,-5.5569,-80.8222,25.74,79,100,2.81,PE,1680843227
313,aflao,6.116,1.1914,28.07,83,40,2.06,TG,1680843228
314,dulce grande,23.0,-102.1667,15.13,83,47,7.01,MX,1680843228
315,waddan,29.1614,16.139,11.39,72,31,4.39,LY,1680843229
316,pisco,-13.7,-76.2167,24.03,83,0,2.06,PE,1680843230
317,sabang,5.8933,95.3214,28.2,73,99,2.34,ID,1680843231
318,omboue,-1.5746,9.2618,25.9,88,100,2.06,GA,1680843231
319,murgab,37.4966,61.9714,20.93,35,20,3.09,TM,1680843232
320,longyearbyen,78.2186,15.6401,-3.09,86,100,12.86,SJ,1680843232
321,camacha,33.0833,-16.3333,14.68,72,75,2.57,PT,1680843234
322,morant bay,17.8815,-76.4093,25.79,79,5,6.22,JM,1680843234
323,teahupoo,-17.8333,-149.2667,25.98,79,99,6.92,PF,1680843235
324,pishin,30.5803,66.9961,17.78,32,0,0.66,PK,1680843235
325,pindwara,24.8,73.0667,30.57,11,2,0.46,IN,1680843236
326,vestmannaeyjar,63.4427,-20.2734,5.21,95,100,18.28,IS,1680843237
327,soyo,-6.1349,12.3689,27.13,82,98,1.36,AO,1680843237
328,boddam,57.4667,-1.7833,4.21,91,31,5.96,GB,1680843238
329,neuquen,-38.9516,-68.0591,11.94,82,0,1.03,AR,1680843239
330,tres arroyos,-38.3739,-60.2798,15.25,72,29,5.64,AR,1680843239
331,touros,-5.1989,-35.4608,24.73,88,98,3.18,BR,1680843193
332,fomboni,-12.28,43.7425,27.86,71,46,1.05,KM,1680843240
333,plouzane,48.3833,-4.6167,6.03,96,100,2.06,FR,1680843241
334,surt,31.2089,16.5887,14.19,65,32,4.98,LY,1680843242
335,naze,28.3667,129.4833,16.51,86,100,5.63,JP,1680843242
336,amapa,1.0,-52.0,19.71,98,49,1.01,BR,1680843243
337,san cristobal,7.7669,-72.225,20.1,80,100,0.62,VE,1680843244
338,smoky lake,54.1169,-112.4686,-2.6,74,30,6.69,CA,1680843244
339,berlevag,70.8578,29.0864,3.0,60,4,7.2,NO,1680843245
